letter,position,percent1,delta,x,y
a,6,0.06,0.039999999999999994,2,1
a,8,0.04,0.02,1,2
a,6,0.06,0.039999999999999994,2,1
a,7,0.06,0.06,0,5
a,6,0.04,-0.24000000000000002,3,0
a,6,0.06,-0.8600000000000001,7,0
a,6,0.06,0.039999999999999994,2,1
a,8,0.04,0.04,2,1
a,6,0.04,-0.24000000000000002,3,0
a,7,0.06,0.06,0,5
a,2,0.04,0.02,3,2
a,6,0.04,-0.24000000000000002,3,0
a,6,0.06,-0.8600000000000001,7,0
a,6,0.04,-0.5399999999999999,5,0
a,6,0.04,-0.5399999999999999,5,0
a,2,0.06,0.06,5,1
a,8,0.04,0.04,2,1
a,4,0.04,0.04,3,1
a,6,0.06,0.039999999999999994,2,1
a,2,0.04,0.04,4,1
a,6,0.04,-0.5399999999999999,5,0
a,1,0.04,0.04,6,0
a,6,0.06,-0.8600000000000001,7,0
a,4,0.04,0.02,1,3
a,2,0.04,0.02,1,8
a,8,0.06,-0.8200000000000001,8,0
a,4,0.06,0.039999999999999994,2,2
a,6,0.06,0.019999999999999997,1,3
a,8,0.06,-0.8200000000000001,8,0
a,2,0.04,0.04,2,7
a,6,0.1,0.060000000000000005,3,1
a,6,0.1,0.04000000000000001,2,2
a,2,0.1,0.1,7,1
a,4,0.08,0.08,5,1
a,4,0.1,0.04000000000000001,2,3
a,6,0.1,0.020000000000000004,1,6
a,6,0.1,0.060000000000000005,3,1
a,4,0.08,0.020000000000000004,1,6
a,2,0.1,0.1,8,1
a,2,0.1,0.1,7,1
a,2,0.1,0.020000000000000004,3,5
a,2,0.1,0.020000000000000004,3,5
a,6,0.1,0.060000000000000005,3,1
a,6,0.1,0.060000000000000005,3,1
a,2,0.1,0.020000000000000004,3,5
a,4,0.1,0.04000000000000001,2,3
a,2,0.08,0.04,4,2
a,2,0.12,0.039999999999999994,4,3
a,2,0.1,0.1,7,1
a,6,0.08,0.020000000000000004,1,4
a,8,0.1,0.08,4,1
a,8,0.08,0.04,2,2
a,2,0.12,0.039999999999999994,4,3
a,4,0.08,0.08,5,1
a,2,0.12,0.06,5,2
a,2,0.1,0.1,7,1
a,6,0.12,0.01999999999999999,1,7
a,4,0.12,0.01999999999999999,1,8
a,2,0.08,0.020000000000000004,3,4
a,4,0.08,0.08,5,1
a,6,0.14,0.04000000000000001,2,3
a,4,0.14,0.04000000000000001,2,5
a,6,0.14,0.04000000000000001,2,3
a,4,0.14,0.08000000000000002,4,2
a,6,0.16,0.06,3,2
a,6,0.14,0.04000000000000001,2,3
a,8,0.16,0.12,6,1
a,6,0.14,0.1,5,1
a,6,0.14,0.04000000000000001,2,3
a,6,0.16,0.06,3,2
a,4,0.14,0.08000000000000002,4,2
a,8,0.14,0.06000000000000001,3,2
a,6,0.14,0.04000000000000001,2,3
a,8,0.14,0.06000000000000001,3,2
a,8,0.16,0.12,6,1
a,8,0.14,0.06000000000000001,3,2
a,6,0.14,0.04000000000000001,2,3
a,6,0.14,0.1,5,1
a,4,0.14,0.04000000000000001,2,5
a,8,0.14,0.06000000000000001,3,2
a,8,0.14,0.06000000000000001,3,2
a,4,0.16,0.06,3,3
a,2,0.16,0.08,6,2
a,2,0.16,0.04000000000000001,4,4
a,6,0.16,0.06,3,2
a,2,0.16,0.08,6,2
a,6,0.16,0.06,3,2
a,8,0.16,0.01999999999999999,3,3
a,2,0.16,0.04000000000000001,5,3
a,4,0.14,0.08000000000000002,4,2
a,2,0.2,0.1,7,2
a,4,0.22,0.12,7,2
a,4,0.2,0.06,4,3
a,2,0.18,0.06,3,7
a,8,0.2,0.14,7,1
a,6,0.2,0.14,7,1
a,8,0.22,0.1,5,2
a,2,0.22,0.06,6,3
a,6,0.22,0.06,3,3
a,4,0.22,0.12,6,2
a,8,0.22,0.04000000000000001,4,3
a,4,0.22,0.12,7,2
a,8,0.18,0.01999999999999999,3,4
a,4,0.2,0.06,4,3
a,2,0.2,0.1,7,2
a,4,0.22,0.04000000000000001,2,7
a,4,0.22,0.12,8,2
a,8,0.2,0.14,7,1
a,2,0.22,0.12,8,2
a,4,0.22,0.12,8,2
a,4,0.18,0.09999999999999999,5,2
a,8,0.22,0.01999999999999999,3,6
a,8,0.2,0.14,7,1
a,6,0.2,0.08000000000000002,4,2
a,8,0.2,0.020000000000000018,3,5
a,6,0.22,0.04000000000000001,2,6
a,2,0.22,0.06,5,4
a,8,0.22,0.01999999999999999,3,6
a,8,0.22,0.16,8,1
a,6,0.18,0.12,6,1
a,6,0.26,0.06,4,3
a,1,0.26,0.18,8,0
a,2,0.24,0.06,3,8
a,4,0.26,0.04000000000000001,2,8
a,4,0.24,0.06,3,5
a,2,0.24,0.06,3,8
a,8,0.26,0.020000000000000018,3,8
a,4,0.26,0.08000000000000002,5,3
a,2,0.24,0.03999999999999998,4,6
a,8,0.26,0.020000000000000018,3,8
a,2,0.24,0.06,3,8
a,4,0.24,0.06,3,5
a,1,0.26,0.18,8,0
a,4,0.26,0.04000000000000001,2,8
a,1,0.26,0.18,8,0
a,2,0.24,0.03999999999999998,4,6
a,2,0.24,0.03999999999999998,4,6
a,8,0.26,0.020000000000000018,3,8
a,4,0.24,0.06,3,5
a,2,0.24,0.03999999999999998,4,6
a,8,0.24,0.01999999999999999,3,7
a,8,0.26,0.04000000000000001,5,3
a,6,0.24,0.09999999999999998,5,2
a,1,0.26,0.18,8,0
a,6,0.26,0.06,4,3
a,8,0.26,0.04000000000000001,4,4
a,8,0.24,0.01999999999999999,3,7
a,8,0.26,0.04000000000000001,5,3
a,4,0.24,0.03999999999999998,4,4
a,6,0.26,0.06,4,3
a,2,0.32,0.08000000000000002,4,7
a,2,0.28,0.08000000000000002,7,3
a,6,0.28,0.020000000000000018,2,8
a,8,0.32,0.06,5,4
a,6,0.32,0.08000000000000002,5,3
a,4,0.32,0.1,6,3
